open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-25,long_jcrosk,short_kdj,sma-compare,ask,bid,is_short,predicted_action,reward
0.2669,0.2728,0.2580383663321764,0.2534810116703164,0.2665,0,0.2694,69321.0,0.2529679999999953,1,0,0,34822.07234756666,34498.92765243334,1,go_long,-0.43959128
0.2418,0.2446,0.2411929776946589,0.2388145254368759,0.2408,0,0.2445,24845.0,0.2383239999999953,0,0,0,12491.471314003702,12353.5286859963,1,go_long,-0.89553688
0.21401,0.2274,0.2148137959343012,0.2133730104471633,0.21401,0,0.22383,91127.0,0.2139911999999946,0,0,0,46585.41113192033,44541.58886807966,1,go_long,-2.22094056
0.1904,0.1911,0.1885084408489226,0.1875896842520889,0.1901,0,0.1908,16651.0,0.1873599999999952,0,0,0,8334.236096537252,8316.76390346275,1,go_long,-2.597509
0.2193,0.2193,0.2195239086565775,0.2236177869176416,0.1603,1,0.1872,382408.0,0.2255599999999955,0,0,1,176105.2339483395,206302.76605166052,1,go_long,-0.09721157
0.2273,0.2302,0.2207245599899767,0.2158857581018501,0.227,0,0.2287,46674.0,0.2153439999999954,1,0,0,23408.648684210526,23265.351315789478,1,go_long,0.68323745
0.2128,0.2176,0.206063767438001,0.2021669733043232,0.2109,0,0.2172,83177.0,0.2017839999999952,0,0,0,42014.05674418605,41162.94325581395,1,go_long,-0.46265308
0.3875,0.3981,0.3807873511788767,0.3759798639682933,0.3875,0,0.3968,58196.0,0.3748759999999942,0,0,0,29443.03557312253,28752.964426877472,1,go_long,2.298428
0.1627,0.1641,0.1615717833074419,0.1599921208179965,0.1627,1,0.1631,37912.0,0.1600359999999952,0,0,0,18979.27317372621,18932.72682627379,1,go_long,-2.6429115
0.1327,0.1335,0.1318788103198062,0.1305636801244129,0.1327,1,0.1334,6280.0,0.130071999999995,0,0,0,3148.2600526118,3131.7399473882,1,go_long,-1.7778492
0.311,0.3118,0.3103952178319437,0.309848025989052,0.2239,0,0.3107,122779.0,0.3096559999999949,0,0,0,61359.876628599006,61419.12337140101,1,go_long,-1.984398
0.4022,0.4115,0.3990069633878134,0.3952143496695412,0.4021,0,0.4113,12516.0,0.3946719999999948,0,0,0,6328.003441917639,6187.99655808236,1,go_long,4.49606
0.0964,0.0989,0.0957184033574792,0.0951185743293309,0.0962,0,0.0977,70930.0,0.094943999999995,1,0,0,35702.529623905204,35227.470376094796,1,go_long,-3.18671866
0.1002,0.1003,0.0984171854340299,0.1003163257693726,0.081,1,0.0823,177102.0,0.1008959999999949,0,0,1,79865.72383561645,97236.27616438357,1,go_long,-1.64391521
0.1331,0.1342,0.1318064295976268,0.1301905314224614,0.133,1,0.1342,2752.0,0.1296279999999948,0,0,0,1381.6625514403295,1370.337448559671,1,go_long,2.41930454
0.185,0.1869,0.1832078773746034,0.1825844466303441,0.1832,1,0.1836,20505.0,0.1820999999999942,0,0,0,10213.559413998915,10291.440586001083,1,go_long,-2.601288
0.2081,0.2139,0.2071884437666272,0.2045286221185817,0.2071,0,0.2116,140472.0,0.2032199999999941,1,0,0,70821.71837026448,69650.28162973552,1,go_long,4.55209436
