,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),open (exit),close (exit),sma-07 (exit),mean-grad-hist (exit),volume (exit),sma-compare (exit),short_kdj (exit),ema-12 (exit),sma-25 (exit),ema-26 (exit),low (exit),long_jcrosk (exit),sma-05 (exit),high (exit)
2234,AAVE/USDT:USDT,2021-04-21 22:45:00+00:00,first_buy,trailing_stop_loss,366.58,367.015,369.97736554253606,371.74860599541955,359.365,1,360.644,8807.0,0,False,366.5330000000009,367.5958571428574,375.68988000000076,2.64085506,0.07323518117574285,1,399.204,390.735,403.7774285714291,1,7196.5,0,False,400.2128331137927,402.99064000000084,402.2126130733844,390.097,0,401.3278000000011,399.459
2233,AAVE/USDT:USDT,2021-04-21 08:30:00+00:00,first_buy,trailing_stop_loss,351.316,353.957,355.4009401948611,356.9220746764082,347.488,1,353.223,3299.5,0,False,353.5518000000008,354.922428571429,357.0843200000008,0.57469873,0.016254851484266947,1,369.207,366.738,369.6228571428574,1,4656.6,1,False,372.63697447505314,376.50544000000076,371.67434109572446,365.745,0,368.1474000000009,371.907
2232,AAVE/USDT:USDT,2021-04-20 07:15:00+00:00,first_buy,trailing_stop_loss,329.782,333.646,336.6133814294562,338.0459324984593,324.486,1,333.646,13692.2,0,False,334.9476000000008,336.88900000000024,334.82216000000085,1.34197938,0.040195567439675145,0,354.612,351.223,356.1998571428576,1,8893.6,1,False,357.2180006505209,357.3657200000008,355.79692932119946,347.795,0,354.1930000000008,357.092
2231,AAVE/USDT:USDT,2021-04-20 00:15:00+00:00,first_buy,trailing_stop_loss,344.538,347.578,349.9024548037152,354.3563495449057,336.0,1,338.252,15287.9,0,False,345.1372000000008,348.0627142857146,355.826840000001,-1.3561658,-0.04005022463804885,1,333.6,329.651,338.0734285714288,1,16766.0,0,False,338.397927098336,334.46420000000086,337.15290532572095,326.02,0,336.41580000000084,334.39
2216,AAVE/USDT:USDT,2021-04-13 08:45:00+00:00,first_buy,trailing_stop_loss,396.319,398.063,400.47638091221023,403.49123548787094,393.211,0,397.97,10091.6,0,False,398.7872000000013,398.29785714285816,405.7160800000005,-1.30782941,-0.032829682818124165,0,401.43,398.339,406.1217142857151,1,9893.7,0,False,405.4719337451028,407.33356000000066,405.3826198107903,398.0,0,406.3104000000014,404.1
2217,AAVE/USDT:USDT,2021-04-14 09:30:00+00:00,first_buy,trailing_stop_loss,398.293,398.905,403.58375522451485,404.5991979121322,385.234,1,393.69,32856.1,0,False,402.6930000000014,404.16685714285796,406.7922400000007,6.30728746,0.16004944178227726,1,464.277,465.981,468.865000000001,1,5789.9,0,False,464.9030762915838,467.06016000000085,469.62797988541854,464.02,0,468.43420000000117,468.421
2218,AAVE/USDT:USDT,2021-04-15 17:15:00+00:00,first_buy,trailing_stop_loss,466.061,468.058,468.9158291338157,464.91018175146644,460.241,1,464.999,11066.3,0,False,467.7240000000012,467.87214285714384,467.86472000000083,-1.57373982,-0.033821621852367846,0,466.506,460.767,466.2894285714295,1,10421.0,0,False,468.22065748335183,469.2096800000009,467.6228114658227,460.0,1,466.6894000000013,466.511
2219,AAVE/USDT:USDT,2021-04-16 01:45:00+00:00,first_buy,trailing_stop_loss,460.796,461.262,465.43484047108075,467.1229050771776,450.085,1,453.401,30585.8,0,False,464.19540000000126,464.4380000000009,468.39276000000086,-2.63880301,-0.058134239322299185,1,432.02,432.193,440.2191428571437,1,9533.7,1,False,445.24183124517066,444.6849600000008,440.4010553407553,429.406,0,437.5244000000013,436.208
2220,AAVE/USDT:USDT,2021-04-16 09:45:00+00:00,first_buy,trailing_stop_loss,432.275,433.796,438.6892006729468,444.05902893071357,427.245,1,429.274,10132.5,0,False,434.97840000000133,437.88200000000086,443.7315200000007,0.08976852,0.0020883713184956724,1,443.509,437.586,441.77471428571477,1,3746.5,1,False,446.53230425766304,447.16956000000073,443.5212836348317,436.881,1,441.34100000000126,444.6
2221,AAVE/USDT:USDT,2021-04-17 11:45:00+00:00,first_buy,trailing_stop_loss,437.417,438.36,442.36416307562683,445.75213357191024,431.531,1,436.0,9463.3,0,False,439.9836000000012,440.80114285714336,446.50300000000067,-2.25401827,-0.05166095026306922,1,425.824,428.678,431.73528571428614,1,5179.1,1,False,433.47823737318026,433.9317200000008,432.3761655620068,425.546,0,430.1276000000013,429.482
