,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),sma-05 (exit),volume (exit),ema-26 (exit),high (exit),imit-enter-short (exit),short_kdj (exit),nlp-enter-long (exit),open (exit),imit-exit-short (exit),nlp-enter-short (exit),ema-12 (exit),low (exit),long_jcrosk (exit),nlp-exit-short (exit),close (exit),sma-25 (exit),mean-grad-hist (exit),sma-07 (exit)
311,UNI/USDT:USDT,2022-01-05 19:45:00+00:00,first_buy,stop_loss,18.924,19.017,19.083696039797584,19.20192770139965,18.64,1,18.648,147779.0,0,False,18.984800000000014,19.00771428571436,19.37827999999999,-22.3000419,-0.3982367876130948,go_long,go_long,go_short,go_long,go_long,11.758399999999996,238168.0,11.952793091331257,11.923,go_long,False,go_short,11.735,go_long,go_long,12.241271301137989,11.615,0,go_long,11.79,12.26379999999999,0,11.773142857142943
707,EGLD/USDT:USDT,2021-11-25 09:15:00+00:00,first_buy,stop_loss,433.47,435.55,440.88562353108324,445.661109972378,430.29,1,430.82,10496.0,0,False,437.2120000000019,438.24285714285844,448.06680000000136,-14.07281982,-0.32623476722840905,go_long,go_long,go_long,go_long,go_long,307.2020000000015,75270.0,316.09859147135825,304.61,go_long,False,go_long,300.63,go_long,go_long,325.92643286059837,269.78,0,go_long,278.17,331.1528000000012,1,311.6300000000019
814,ETC/USDT:USDT,2021-06-18 13:00:00+00:00,first_buy,stop_loss,53.301,53.595,53.81521277215159,54.09597901287721,53.257,1,53.443,32425.51,0,False,53.56759999999965,53.694571428571315,54.2029200000002,-23.93654946,-0.3924928842563666,go_long,go_long,go_long,go_long,go_long,33.96839999999965,341531.12,35.004718629037896,34.419,go_long,False,go_long,34.315,go_long,go_long,36.389715141190536,33.173,1,go_long,33.56,36.599840000000185,0,34.14785714285704
915,SUSHI/USDT:USDT,2021-05-19 12:45:00+00:00,second_buy,stop_loss,17.095,17.095,17.58769500104726,18.416748601312445,14.725999999999999,1,14.773,1369197.0,1,False,16.86939999999985,17.045571428571513,18.814560000000018,-23.4245708,-0.3957872327800085,go_short,go_short,go_short,go_short,go_short,14.86379999999985,6198546.0,16.002049616270757,15.606,go_short,False,go_short,14.811,go_short,go_short,17.59187833454856,5.829,0,go_short,7.281,18.329520000000016,1,15.490571428571513
812,ETC/USDT:USDT,2021-05-13 01:15:00+00:00,first_buy,stop_loss,88.886,91.322,92.1570517454305,95.48543265490481,87.788,0,90.816,698674.65,0,False,89.05139999999976,88.95428571428546,96.67624000000009,-24.0418534,-0.39491385949361896,go_long,go_long,go_long,go_long,go_long,66.3107999999997,457306.08,70.09893789022395,67.577,go_long,False,go_long,67.486,go_long,go_long,73.28659414479472,64.43,0,go_long,64.546,73.92324000000029,1,68.26857142857115
728,COMP/USDT:USDT,2021-05-19 12:45:00+00:00,first_buy,stop_loss,522.54,523.0,550.0785553198406,576.5304110287216,478.49,1,479.2,10750.745,0,False,525.258000000001,535.447142857144,585.3743999999991,-24.04403306,-0.3920779573133607,go_long,go_long,go_long,go_long,go_long,301.74200000000053,1996.283,306.16084267826045,298.91,go_long,False,go_long,296.79,go_long,go_long,316.7921156731953,293.51,0,go_long,298.31,316.603599999999,1,304.39428571428687
727,COMP/USDT:USDT,2021-05-03 10:45:00+00:00,first_buy,stop_loss,817.39,817.9,825.3964280422576,823.994976357577,813.62,1,813.95,1464.621,0,False,824.0160000000014,827.6685714285725,824.6943999999996,-24.82094806,-0.40618133418664154,go_long,go_long,go_long,go_long,go_long,538.486000000001,6326.393,562.9655653779934,541.62,go_long,False,go_long,541.32,go_long,go_long,584.3168439110193,514.55,1,go_long,523.19,590.9615999999991,1,550.907142857144
916,AVAX/USDT:USDT,2021-05-19 12:45:00+00:00,first_buy,stop_loss,27.851,27.851,29.033399192637585,30.865579767126622,23.5,1,23.735,350246.0,1,False,27.369000000000106,28.053142857142884,31.400360000000006,-18.04273655,-0.37970743286627,go_long,go_long,go_long,go_long,go_long,15.617800000000113,138691.0,15.946380039400488,15.562,go_long,False,go_long,15.395,go_long,go_long,16.639945850522473,15.003,0,go_long,15.064,16.697560000000006,1,15.759714285714344
3,LINK/USDT:USDT,2021-05-19 12:45:00+00:00,first_buy,stop_loss,32.621,32.621,33.49181054997681,35.35825397561844,26.837,1,26.962,2385022.06,1,False,32.000600000000034,32.64057142857131,35.86023999999996,-23.88328166,-0.3898360171741505,go_long,go_long,go_long,go_long,go_long,18.395800000000094,1459453.66,18.947255142002344,18.231,go_long,False,go_long,17.504,go_long,go_long,19.90644611047499,17.282,0,go_long,17.417,19.84547999999994,1,18.797285714285607
193,OGN/USDT:USDT,2021-05-19 13:30:00+00:00,second_buy,stop_loss,0.37310000000000004,0.5373,0.692260216161016,0.8195000651933707,0.3504,1,0.48310000000000003,371274.0,0,False,0.5612200000000026,0.6421571428571505,0.8716520000000056,-24.2379396,-0.3956382929056034,go_short,go_short,go_short,go_short,go_short,0.5062600000000026,237556.0,0.671020182905475,0.6211,go_short,False,go_short,0.4867,go_short,go_short,0.7998482085123803,0.4323,0,go_short,0.5542,0.8548680000000057,0,0.601385714285722
