,pair,open_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,exit_reason,action,nlp-exit-short (entry),grads-ratio (entry)
465,BICO/USDT:USDT,2024-02-29 13:15:00+00:00,0.42,0.4991,0.4262284701017946,0.4200666863399742,0.4185,0,0.4737,4429010.5,0.4208160000000001,0,0,go_short,0.4287799999999999,0.4251285714285714,go_short,go_short,go_short,-33.34391029,second_buy,trailing_stop_loss,do_nothing,go_short,0.7172641749300793
466,BICO/USDT:USDT,2024-03-02 02:30:00+00:00,0.5218,0.5453,0.5119103356447927,0.5044318662984529,0.5208,0,0.5369,754695.2,0.5033200000000002,1,0,go_short,0.5218399999999999,0.5135285714285721,go_short,go_short,go_short,-0.81311657,second_buy,trailing_stop_loss,do_nothing,go_short,0.7172641749300793
467,BNX/USDT:USDT,2024-04-05 15:15:00+00:00,0.6748000000000001,0.6845,0.6634223482907264,0.6580600544918735,0.6717000000000001,0,0.6791,552309.9,0.6543600000000026,1,0,go_short,0.669480000000001,0.6650142857142877,go_short,go_short,go_short,-33.8639266,second_buy,trailing_stop_loss,do_nothing,go_short,2.3830523130133843
468,BNX/USDT:USDT,2024-03-26 07:00:00+00:00,0.5609000000000001,0.5823,0.5402590219568505,0.5313569910070645,0.5592,0,0.5714,1280767.2,0.5287240000000013,0,0,go_short,0.5456200000000009,0.5408714285714292,go_short,go_short,go_short,-41.64791248,second_buy,trailing_stop_loss,do_nothing,go_short,2.3830523130133843
469,BNX/USDT:USDT,2024-03-11 10:15:00+00:00,0.6831,0.7313000000000001,0.6659901324713865,0.6345268644418673,0.6739,0,0.7184,3931643.5,0.6227400000000008,0,0,go_short,0.6897599999999995,0.6845,go_short,go_short,go_short,43.67971753,second_buy,trailing_stop_loss,go_short,go_short,2.3830523130133843
470,BNX/USDT:USDT,2024-03-10 17:45:00+00:00,0.5099,0.5353,0.4828868270778045,0.4689029355879746,0.5069,0,0.5197,1793483.7,0.4614280000000005,0,0,go_short,0.5009799999999995,0.4907285714285714,go_short,go_short,go_short,-74.33197984,second_buy,trailing_stop_loss,do_nothing,go_short,2.3830523130133843
471,BNX/USDT:USDT,2024-03-08 11:15:00+00:00,0.4055,0.4115,0.3942578529543927,0.3912411993591356,0.4033,0,0.4097,324612.1,0.3897080000000008,0,0,go_short,0.3996999999999994,0.3942285714285714,go_short,go_short,go_short,-64.47047439,second_buy,trailing_stop_loss,do_nothing,go_short,2.3830523130133843
472,BNX/USDT:USDT,2024-03-03 19:30:00+00:00,0.3696,0.3734,0.3559286195618049,0.35226337789411,0.3651,0,0.3721,668517.5,0.3524960000000006,0,0,go_short,0.3589599999999998,0.3558142857142854,go_short,go_short,go_short,-18.60998704,second_buy,trailing_stop_loss,do_nothing,go_short,2.3830523130133843
473,BNX/USDT:USDT,2024-02-28 00:15:00+00:00,0.3223,0.3236,0.3218108693144812,0.3210340455840456,0.3215,0,0.3217,127693.9,0.3211320000000001,0,0,go_short,0.32236,0.3223428571428572,go_short,go_short,go_short,-34.56786422,second_buy,trailing_stop_loss,do_nothing,go_short,2.3830523130133843
474,BNB/USDT:USDT,2024-04-30 12:15:00+00:00,568.05,568.7,576.9256577501726,583.8020106190614,556.75,0,565.65,16268.26,587.898,0,0,go_short,570.7800000000018,573.7000000000012,go_short,go_short,go_short,51.87920353,first_buy,trailing_stop_loss,go_short,go_short,-17.333333333334288
475,BNB/USDT:USDT,2024-04-01 05:45:00+00:00,592.2,592.4,595.2693971870815,598.6839214288188,585.6,1,587.85,4453.12,600.23,0,0,go_short,592.6200000000031,593.8000000000001,go_short,go_short,go_short,-7.11278683,first_buy,trailing_stop_loss,do_nothing,go_short,-17.333333333334288
476,BNB/USDT:USDT,2024-02-28 00:15:00+00:00,394.25,394.55,394.8681217360005,394.5817663817664,393.65,0,394.45,1027.58,394.77600000000007,0,0,go_short,394.85,395.0142857142857,go_short,go_short,go_short,106.67136629,first_buy,trailing_stop_loss,go_short,go_short,-17.333333333334288
477,BLUR/USDT:USDT,2024-04-14 05:00:00+00:00,0.3995,0.4101,0.3914246670521392,0.3840401535551722,0.3981,0,0.405,2114787.0,0.3835639999999984,0,0,go_short,0.3965400000000013,0.3922285714285711,go_short,go_short,go_short,-10.59952794,second_buy,trailing_stop_loss,do_nothing,go_short,0.4105263157894643
478,BAKE/USDT:USDT,2024-03-12 22:45:00+00:00,0.4729,0.4798,0.4705410427047866,0.465947920004801,0.4725,0,0.4789,278979.3,0.4630920000000001,0,0,go_short,0.4744400000000007,0.4727142857142863,go_short,go_short,go_short,11.53022768,second_buy,trailing_stop_loss,go_short,go_short,2.945533769063206
479,BLUR/USDT:USDT,2024-04-12 18:45:00+00:00,0.4434,0.4439,0.4551033350143729,0.4733953263622315,0.3525,1,0.3964,35335760.0,0.4784279999999987,0,0,go_short,0.4392200000000011,0.4470142857142851,go_short,go_short,go_short,-6.89039529,second_buy,trailing_stop_loss,do_nothing,go_short,0.4105263157894643
