,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),exit_reason,action
60,1.849,1.849,1.8589616899622936,1.876176831033848,1.799,1,1.802,89944.0,1.8828800000000003,0,0,1.8510000000000155,1.8552857142857209,3.4904516,first_buy,go_long,go_long,long-exit-profit,go_long
61,2.402,2.427,2.3536170702191974,2.3101658773736866,2.391,0,2.417,10267.0,2.2912000000000017,0,0,2.385200000000017,2.378428571428572,3.7370212,first_buy,go_long,go_long,long-exit-profit,go_long
62,1.76,1.76,1.7724500903933391,1.7816732211687116,1.736,1,1.757,12074.0,1.780759999999998,0,0,1.76580000000003,1.7724285714285823,4.1781184,first_buy,go_long,go_long,long-exit-profit,go_long
63,0.63,0.63,0.6236033397303278,0.621810178688294,0.5750000000000001,0,0.627,514925.0,0.6215999999999989,0,0,0.6246000000000267,0.6238571428571594,3.9014787,first_buy,go_long,go_long,long-exit-profit,go_long
64,0.14922,0.14931,0.1456846491968628,0.1478627938640856,0.11067,1,0.12141,20656.0,0.1490412,0,0,0.1431639999999969,0.1455942857142848,3.26862624,first_buy,go_long,go_long,long-exit-profit,go_long
65,0.12232,0.12444,0.1306786161867803,0.1378528732706381,0.11403,1,0.11688,76459.0,0.1398668,0,0,0.1249719999999973,0.1271828571428561,3.19187192,first_buy,go_long,go_long,long-exit-profit,go_long
66,0.14719,0.1713,0.1296088175671157,0.1248208613766878,0.14401,0,0.14649,150198.0,0.1241767999999998,1,0,0.1330759999999972,0.130052857142856,2.88691,first_buy,go_long,go_long,long-exit-profit,go_long
67,0.10399,0.1055,0.096983190287855,0.0946998894151173,0.10268,0,0.10421,52687.0,0.0936835999999998,0,0,0.0991819999999971,0.0978157142857131,3.8439471,first_buy,go_long,go_long,long-exit-profit,go_long
68,78.928,79.018,77.64033267861609,76.73803231903783,78.314,1,78.499,5534.0,76.42624000000015,0,0,78.20520000000002,78.0270000000004,3.312568,first_buy,go_long,go_long,long-exit-profit,go_long
69,111.818,111.964,101.4441974728196,96.89422845161208,108.276,0,110.617,88303.0,96.98128000000013,0,0,104.81380000000004,102.34471428571464,3.6736195,first_buy,go_long,go_long,long-exit-profit,go_long
70,51.544,51.798,52.49340265247921,53.1403250069409,51.487,0,51.7,2552.0,53.43184000000036,0,0,51.9514000000009,52.13085714285812,3.496998,first_buy,go_long,go_long,long-exit-profit,go_long
71,19.528,19.544,20.5748187154272,21.504014617294207,16.194,1,16.569,1495697.0,21.4280400000002,1,0,19.83340000000057,20.27171428571532,3.9540696,first_buy,go_long,go_long,long-exit-profit,go_long
72,13.663,13.693,13.872702731721414,13.940197472405432,13.524,1,13.628,20324.0,13.974800000000196,0,0,13.797600000000372,13.847714285715314,3.1138072,first_buy,go_long,go_long,long-exit-profit,go_long
73,6.398,6.398,6.426750251723007,6.50212004220543,6.142,1,6.182,216698.0,6.535080000000203,0,0,6.385600000000347,6.409142857143796,3.023382,first_buy,go_long,go_long,long-exit-profit,go_long
74,8.221,8.315,8.159958826821173,8.090262245382474,8.191,0,8.287,183502.0,8.059400000000212,0,0,8.191000000000356,8.18300000000094,3.0531963,first_buy,go_long,go_long,long-exit-profit,go_long
75,4.213,4.23,4.246778377112476,4.279463731140667,4.148,1,4.191,63159.0,4.271640000000241,0,0,4.227200000000341,4.237142857143682,3.25821732,first_buy,go_long,go_long,long-exit-profit,go_long
76,5.57,5.697,5.289246803648264,5.16075223201657,5.495,0,5.66,1021253.0,5.102680000000244,0,0,5.467000000000352,5.3492857142865295,3.2327724,first_buy,go_long,go_long,long-exit-profit,go_long
77,7.504,7.526,7.412326045194131,7.361333476310015,7.481,0,7.495,24825.0,7.351280000000254,0,0,7.446000000000369,7.432571428572261,4.30471355,first_buy,go_long,go_long,long-exit-profit,go_long
