,pair,open_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,exit_reason,action,regbot_long_-1 (entry),regbot_short_1 (entry),long_signal,short_signal
155,SC/USDT:USDT,2022-12-15 15:45:00+00:00,0.00273,0.00273,0.0027375311338181,0.0027426049692003,0.00273,1,0.00273,40.0,0.002742,0,0,0.0027340000000001,0.0027357142857144,13.68073483,second_buy,roi,,1,1,0.0,0.0
156,SC/USDT:USDT,2022-11-13 08:00:00+00:00,0.00234,0.00235,0.0024020507468344,0.0024351221179578,0.00234,0,0.00235,158610.0,0.002454,0,0,0.0023480000000001,0.0023771428571429,12.24543842,second_buy,roi,,1,1,0.0,0.0
157,SC/USDT:USDT,2023-05-11 21:45:00+00:00,0.0034,0.0034119999999999,0.0033987593825554,0.0034125562662192,0.003397,0,0.003397,13320.0,0.00340984,0,0,0.0033998000000001,0.0033970000000001,17.38559466,second_buy,roi,go_short,1,1,0.0,1.0
158,SC/USDT:USDT,2022-11-10 09:45:00+00:00,0.00251,0.00251,0.0025080563478755,0.0024918840115688,0.00251,1,0.00251,105540.0,0.0024972,1,0,0.0025100000000001,0.0025028571428572,14.36017624,second_buy,roi,go_short,1,1,0.0,1.0
159,SC/USDT:USDT,2023-05-26 03:45:00+00:00,0.003127,0.003127,0.003124982647857,0.0031270928259963,0.0031179999999999,0,0.003127,30000.0,0.0031282,0,0,0.0031234000000001,0.0031217142857144,10.16629403,second_buy,roi,go_short,1,1,0.0,1.0
160,SC/USDT:USDT,2023-06-06 06:15:00+00:00,0.002979,0.002987,0.0029773345573385,0.002977389827802,0.002979,1,0.002979,42420.0,0.00297304,0,0,0.0029810000000001,0.0029831428571429,24.64068362,second_buy,roi,go_short,1,1,0.0,1.0
161,PAXG/USDT:USDT,2022-10-25 11:15:00+00:00,1637.0,1637.0,1639.0478610852017,1640.9351337783953,1637.0,0,1637.0,0.14,1641.4,0,0,1637.4,1638.142857142857,1.32540544,second_buy,roi,go_short,1,1,0.0,1.0
162,SC/USDT:USDT,2023-03-14 13:00:00+00:00,0.004037,0.00407,0.0039475640771404,0.0039286990071823,0.0040149999999999,0,0.004056,13429330.0,0.00390772,0,0,0.0039614000000001,0.0039521428571429,37.31001425,second_buy,roi,go_short,1,1,0.0,1.0
163,OG/USDT:USDT,2024-01-05 16:15:00+00:00,4.6346,4.98,4.625920435015428,4.560974124161052,4.6313,0,4.9025,63033.5,4.522251999999996,0,0,4.716639999999986,4.6571428571428495,12.20410035,second_buy,roi,go_short,1,1,0.0,1.0
164,SC/USDT:USDT,2023-09-11 01:45:00+00:00,0.002744,0.002744,0.0027548451110926,0.0027592058379366,0.002729,1,0.002731,361970.0,0.00276208,0,0,0.0027450000000002,0.0027532857142858,7.49706982,second_buy,roi,go_short,1,1,0.0,1.0
165,SC/USDT:USDT,2023-01-26 11:00:00+00:00,0.00319,0.00319,0.003200625077966,0.0032090825117484,0.00318,0,0.00318,232050.0,0.0032168,0,0,0.0031920000000001,0.0031942857142858,10.80887291,second_buy,roi,go_short,1,1,0.0,1.0
166,ANKR/USDT:USDT,2022-12-17 10:15:00+00:00,0.01825,0.01825,0.0182286386157948,0.0182198900895129,0.0182,1,0.0182,2647.0,0.0181639999999998,0,0,0.0182599999999978,0.0182642857142844,9.52026765,second_buy,roi,go_short,1,1,0.0,1.0
167,ANKR/USDT:USDT,2022-12-16 12:15:00+00:00,0.0197,0.0197,0.0197578977677055,0.0199346774262522,0.01965,0,0.0197,542593.0,0.0200139999999998,0,0,0.0196999999999978,0.0196714285714273,16.11760392,second_buy,roi,go_short,1,1,0.0,1.0
168,ANKR/USDT:USDT,2022-12-15 04:00:00+00:00,0.0207,0.0207,0.0206723808249809,0.0207470780358028,0.02065,0,0.02065,12552.0,0.0207619999999998,0,0,0.0206699999999978,0.0206285714285701,10.0256537,second_buy,roi,go_short,1,1,0.0,1.0
169,ANKR/USDT:USDT,2022-12-07 10:45:00+00:00,0.02085,0.02085,0.0208432839753311,0.0210067926505086,0.02085,0,0.02085,52136.0,0.0210379999999998,0,0,0.0208199999999978,0.0208071428571415,1.70293572,second_buy,roi,go_short,1,1,0.0,1.0
170,ANKR/USDT:USDT,2022-11-17 09:15:00+00:00,0.02105,0.02105,0.0209796087442685,0.0209798720724801,0.02095,1,0.02095,543146.0,0.0209279999999998,0,0,0.0210299999999978,0.0209999999999987,1.5920169,second_buy,roi,go_short,1,1,0.0,1.0
