,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,long-bid-rl (entry),short-bid-rl (entry),exit_reason,action,nlp-exit-short (entry)
64,426.95,427.2,428.5997704526537,429.2863193742868,424.25,1,426.3,31921.0,429.95399999999967,0,0,go_short,427.3800000000027,428.03571428573485,go_short,go_short,go_short,-3.0883836,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
65,520.4,520.4,522.9652937212616,528.6160136266419,516.0,1,516.6,8731.0,529.1479999999999,1,0,go_short,520.3699999999975,521.128571428592,go_short,go_short,go_short,-0.9245169,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
66,590.4,590.4,592.5772225917505,594.7155708356205,580.25,1,585.6,230316.0,595.9340000000008,0,0,go_short,591.1900000000019,592.2642857143029,go_short,go_short,go_short,-0.6936274,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
67,605.0,606.2,608.2275576509012,610.5188029341056,596.2,1,598.55,102395.0,610.9420000000008,0,0,go_short,606.5100000000036,608.2857142857274,go_short,go_short,go_short,-0.1484304,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
68,664.95,679.9,706.0958470384833,726.0020260964054,584.5,1,621.55,558782.0,729.0840000000012,0,0,go_short,690.7700000000011,703.2142857142953,go_short,go_short,go_short,-0.2715846,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
69,679.15,679.15,681.9242666370352,684.2267311255544,674.4,1,675.3,7432.0,684.4980000000013,0,0,go_short,681.6900000000005,682.3428571428685,go_short,go_short,go_short,-0.4933267,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
70,442.4,443.35,445.934915419964,450.2946180062066,439.45,0,439.6,13395.0,452.5120000000012,0,0,go_short,442.2399999999983,442.7714285714397,go_short,go_short,go_short,4.6861056,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
71,592.15,593.55,601.6115813860738,605.9553544160134,587.35,1,589.95,20769.0,607.0160000000013,0,0,go_short,597.0599999999989,600.8571428571543,go_short,go_short,go_short,-1.4891092,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
72,1.247,1.2487,1.2590103147366092,1.2654126482989536,1.2338,1,1.2338,191.0,1.259780000000004,0,0,go_short,1.2592000000000003,1.2616285714285724,go_short,go_short,go_short,-0.882517,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
73,130.7,131.15,131.888666661969,132.3911450390505,130.05,1,130.35,55563.0,132.63799999999873,0,0,go_short,131.45000000000064,131.75000000002174,go_short,go_short,go_short,-1.45476654,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
74,0.2481,0.249,0.2453319305375554,0.2433314844262382,0.2468,1,0.2473,6954.0,0.2427679999999942,0,0,go_short,0.24671999999999,0.2461285714285748,go_short,go_short,go_short,1.051245,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
75,112.15,112.25,112.65500322302134,113.02300128097691,109.7,1,111.5,323620.0,113.13999999999876,0,0,go_short,112.50000000000122,112.66428571430724,go_short,go_short,go_short,-0.60470567,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
76,379.1,379.1,380.4057645077714,381.3145245061036,375.25,1,377.05,119916.0,381.6800000000004,1,0,go_short,379.3199999999992,379.9428571428775,go_short,go_short,go_short,0.75776844,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
77,459.2,459.2,461.9488357293306,463.4550594011537,457.3,1,457.35,91318.0,464.14600000000047,0,0,go_short,459.83000000000027,460.7714285714492,go_short,go_short,go_short,-1.71339632,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
78,0.346,0.35,0.3397288139203605,0.3348870438148891,0.346,0,0.3481,2233.0,0.3331000000000015,0,0,go_short,0.3421799999999992,0.3409857142857107,go_short,go_short,go_short,1.467604,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
79,0.2725,0.2741,0.2675709615283494,0.2644095329611203,0.2725,0,0.2741,105.0,0.2642560000000043,0,0,go_short,0.2688199999999989,0.2680714285714267,go_short,go_short,go_short,-1.86624,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
80,443.3,443.95,447.9684178025025,452.5508512428579,439.75,1,440.9,67116.0,454.3420000000004,0,0,go_short,445.2200000000008,446.0928571428778,go_short,go_short,go_short,0.26279107,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
81,0.3223,0.3373,0.3193216760486877,0.318272996960904,0.3223,0,0.3323,1424.0,0.3182120000000048,0,0,go_short,0.3214799999999991,0.3193428571428568,go_short,go_short,go_short,-0.833763,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
82,664.05,664.05,665.8843572661725,669.4092705852516,651.15,1,662.2,458316.0,669.5779999999994,0,0,go_short,664.820000000004,664.764285714307,go_short,go_short,go_short,-2.26881662,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
83,0.3596,0.365,0.338232047539888,0.3321487046780413,0.3596,0,0.3616,4695.0,0.3285120000000034,1,0,go_short,0.3478199999999985,0.340757142857145,go_short,go_short,go_short,0.005616,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
84,0.3577,0.3622,0.3466296269683699,0.3456881140673135,0.357,0,0.3605,1899.0,0.3463360000000033,0,0,go_short,0.3469799999999986,0.3438714285714311,go_short,go_short,go_short,-1.523928,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
85,490.8,492.65,494.7157323093211,492.24557296938247,482.05,0,487.75,670182.0,498.8939999999987,0,0,go_short,489.6900000000031,491.96428571430704,go_short,go_short,go_short,2.95272937,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
86,237.2,237.3,239.19994904358632,239.9381201989113,235.1,1,235.1,204747.0,240.15999999999872,0,0,go_short,238.76000000000303,239.2642857143077,go_short,go_short,go_short,9.72869774,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
87,260.5,260.5,260.8093333973422,261.90502160941145,252.05,1,256.1,250840.0,262.0199999999988,0,0,go_short,260.2700000000026,260.93571428573586,go_short,go_short,go_short,-0.68932167,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
88,230.55,245.4,231.84435098321904,229.9842920499744,230.4,0,244.45,1223899.0,229.1739999999987,0,0,go_short,232.76000000000403,232.00000000002177,go_short,go_short,go_short,0.30190373,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
89,837.7,837.7,862.1709533823985,908.937853185097,697.8,1,697.8,192638.0,920.8580000000017,1,0,go_short,817.8099999999988,840.3714285714374,go_short,go_short,go_short,-1.117855,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
90,235.75,236.75,238.38763593096027,240.2581577467303,233.9,1,235.6,183830.0,240.97599999999875,0,0,go_short,237.0400000000036,237.36428571430744,go_short,go_short,go_short,-0.15158223,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
91,0.4924,0.5213,0.4884890133918432,0.4834480266285396,0.4924,0,0.5093,5482.0,0.4831560000000037,0,0,go_short,0.4918599999999984,0.4902428571428591,go_short,go_short,go_short,0.035786,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
92,245.7,246.05,247.16655853021132,247.6860636249465,240.9,1,242.2,426315.0,247.3339999999987,0,0,go_short,246.33000000000425,247.57142857145027,go_short,go_short,go_short,-0.24690855,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
93,210.95,211.5,213.33559763489305,215.14011691676225,207.15,1,207.5,577855.0,216.2999999999987,0,0,go_short,211.8700000000037,212.535714285736,go_short,go_short,go_short,1.49931637,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
94,0.4989,0.5104000000000001,0.4909109248432212,0.479773091128875,0.4976,1,0.51,7716.0,0.4736160000000034,0,0,go_short,0.5029399999999994,0.498842857142859,go_short,go_short,go_short,-0.728916,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
95,232.7,232.9,232.6356887313605,234.6550229635878,219.85,1,226.75,3663936.0,235.2199999999986,0,0,go_short,231.36000000000263,231.985714285736,go_short,go_short,go_short,-0.70271875,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
96,259.9,260.1,260.7669441761582,264.0740210657696,254.0,1,255.9,531916.0,265.06999999999886,1,0,go_short,259.86000000000183,259.97142857145,go_short,go_short,go_short,-0.74846327,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
97,0.5802,0.583,0.5633588336315406,0.5587049675138038,0.5759000000000001,0,0.5766,1304.0,0.5591320000000033,0,0,go_short,0.5666399999999985,0.562885714285715,go_short,go_short,go_short,-1.450962,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
98,0.72,0.7351000000000001,0.7100257082152598,0.7007522050092366,0.72,0,0.7351000000000001,1208.0,0.7017840000000031,0,0,go_short,0.7157800000000012,0.71342857142857,go_short,go_short,go_short,-1.856606,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
99,108.1,108.1,106.47818335478767,108.32504361705556,89.5,1,92.95,1486626.0,109.16799999999874,0,0,go_short,105.200000000001,106.17857142859296,go_short,go_short,go_short,14.92430286,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
100,0.9199,0.93,0.8899808119382999,0.8770807035516668,0.9098,0,0.9293,1665.0,0.8750760000000042,0,0,go_short,0.9006400000000013,0.8934714285714281,go_short,go_short,go_short,-2.700259,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
101,1.179,1.2225,1.1122842522649556,1.0816821760753068,1.172,0,1.196,6757.0,1.076692000000003,1,0,go_short,1.1321800000000022,1.1198857142857144,go_short,go_short,go_short,-4.125822,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
102,1.2542,1.2542,1.2701843976031666,1.2852983758594287,1.2344,1,1.2344,615.0,1.2884920000000022,0,0,go_short,1.26158,1.269157142857143,go_short,go_short,go_short,1.102326,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
103,1.1162,1.1524,1.0647941719067624,1.0315682985668213,1.1162,0,1.1234,134.0,1.0191080000000023,0,0,go_short,1.0963199999999993,1.0876571428571429,go_short,go_short,go_short,-1.212651,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
