,open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-25,long_jcrosk,short_kdj,sma-compare,is_short,nlpreds,reward
713,5.341,5.341,5.460919719257481,5.520874623005225,5.283,1,5.284,109031.5,5.550239999999982,1,0,1,0,go_short,7.6928763
714,22.033,22.308,22.739656364893072,23.063810897169716,20.967,1,21.479,455295.5,23.02643999999998,0,0,1,0,go_short,37.29525455
715,12.463,12.588,13.203511223348656,13.776098082910336,11.776,1,12.277,525696.3,13.837559999999971,0,0,1,0,go_short,3.28678625
716,10.795,10.861,10.825767800888611,10.73759141346711,10.663,1,10.742,109340.9,10.729959999999997,0,0,0,0,go_short,33.95304243
717,5.377,5.378,5.399243295936854,5.418228726313037,5.295,1,5.298,40514.9,5.407279999999991,0,0,0,0,go_short,9.96008566
718,4.271,4.319,4.320505669941241,4.321189431515197,4.2620000000000005,1,4.272,106599.1,4.366079999999994,0,0,1,0,go_short,20.84769342
719,2.296,2.306,2.3240468269983467,2.3727888682650637,2.283,1,2.294,42236.0,2.369439999999988,0,0,0,0,go_short,-20.65748572
720,4.05,4.089,4.115127941951066,4.169084700471311,4.019,1,4.033,127269.0,4.178559999999991,0,0,1,0,go_long,36.13458358
721,2.725,2.73,2.6818821639882944,2.663547196247172,2.667,1,2.667,125042.7,2.664000000000001,1,0,0,0,go_long,21.20956087
722,1.796,1.798,1.8085638463232767,1.806936944474572,1.792,1,1.794,13148.6,1.8080000000000032,0,0,0,0,go_long,-0.57346909
723,1.912,1.912,1.9076473487826453,1.9070229177748168,1.904,1,1.905,22553.4,1.9066800000000037,0,0,0,0,go_short,1.71914473
724,1.641,1.641,1.6397340463715409,1.6498370116331516,1.598,1,1.599,150334.1,1.6531200000000026,1,0,1,0,go_short,8.69914702
725,1.425,1.428,1.4382066622195968,1.4537379011939464,1.416,0,1.417,12143.3,1.4626800000000029,0,0,1,0,go_short,40.42541332
726,1.663,1.664,1.6716990709268085,1.7055030536850189,1.618,1,1.624,33958.3,1.688520000000001,1,0,1,0,go_short,-23.05465225
727,0.314,0.319,0.3106243900450176,0.3086718128661175,0.313,0,0.316,15299211.4,0.3079599999999942,0,0,0,1,go_short,2.10286227
728,4.071,4.111,4.014526398314756,3.9754541472016816,4.052,0,4.106,787764.5,3.9721200000000114,0,0,0,1,go_short,3.93308606
729,4.088,4.133,4.039412271327359,4.006287151419606,4.078,0,4.105,652921.8,4.015880000000012,0,0,0,1,go_long,-11.28079039
730,1.46,1.494,1.4246357925871516,1.384893877476512,1.456,0,1.493,1723421.6,1.3735200000000012,0,0,0,1,go_long,6.66056924
731,0.749,0.758,0.7462386834126816,0.7385927392458629,0.749,0,0.755,2207119.9,0.7362799999999897,0,0,0,1,go_short,-2.63284587
732,0.467,0.468,0.4654414717012329,0.4614619136014297,0.466,0,0.466,3351068.4,0.4615999999999908,0,0,0,1,go_short,4.22071643
733,0.552,0.556,0.549829976825074,0.5470510033232003,0.55,0,0.556,2044309.9,0.5458799999999907,0,0,0,1,go_short,-16.7938527
734,12.631,12.657,12.79608011476791,12.94956229895831,12.413,1,12.496,210285.4,13.00163999999998,0,0,1,0,go_short,-11.47304605
735,0.671,0.678,0.6667173961920465,0.6603065547487329,0.669,0,0.676,1750414.4,0.6579599999999916,0,0,0,1,go_short,-9.4102642
736,0.669,0.672,0.6673956603901293,0.6666086082232128,0.668,0,0.672,630222.2,0.6668399999999941,0,0,0,1,go_short,-14.91167031
737,0.544,0.545,0.5648398637795449,0.5784636951233767,0.532,1,0.536,4622914.0,0.5830799999999933,0,0,1,1,go_short,25.41962295
738,0.481,0.489,0.4809307237346014,0.4772860693715836,0.48,0,0.489,2959937.0,0.4762799999999935,0,0,0,1,go_short,-5.02753668
739,0.27,0.279,0.2676919273434721,0.2824787925937367,0.266,0,0.279,37198356.2,0.2769599999999935,0,0,0,1,go_short,25.72965777
740,0.214,0.22,0.2117525070270406,0.2101330934844756,0.213,0,0.22,14188210.2,0.2093599999999932,0,0,0,1,go_short,3.70098171
