,pair,open_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action
53,BSW/USDT:USDT,2022-10-16 14:45:00+00:00,0.2467,0.3203,0.2518969322756164,0.2466912625455467,0.2463,0,0.2944,6260708.0,0.2449440000000021,1,0,0.2552400000000007,0.2521000000000021,41.34395669,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
54,BSW/USDT:USDT,2023-02-20 12:00:00+00:00,0.2367,0.2519,0.2350816018207601,0.233295631083179,0.2367,0,0.2436,987494.0,0.2332480000000011,1,0,0.2367400000000031,0.2352142857142891,54.21288576,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
55,BSW/USDT:USDT,2023-03-24 12:00:00+00:00,0.184,0.1844,0.1841139590881149,0.184682240951868,0.1803,0,0.1841,129324.0,0.1849200000000008,0,0,0.1839400000000035,0.1837571428571464,0.67903495,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
56,BSW/USDT:USDT,2023-04-04 11:15:00+00:00,0.1825,0.183,0.1823278207409284,0.1818308499982243,0.1823,0,0.183,29918.0,0.1818160000000006,0,0,0.182560000000003,0.1824714285714319,24.62130972,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
57,BSW/USDT:USDT,2023-05-02 01:45:00+00:00,0.1635,0.1638,0.1641191510178566,0.1644468736082894,0.1635,1,0.1637,5830.0,0.1642200000000011,0,0,0.1639200000000031,0.1640142857142895,13.12527008,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
58,BSW/USDT:USDT,2023-05-06 21:45:00+00:00,0.1536,0.1539,0.1539717124350657,0.1542910268319156,0.1528,1,0.1536,118826.0,0.154004000000001,0,0,0.1538200000000033,0.1539285714285754,41.02889384,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
59,BSW/USDT:USDT,2023-05-12 09:15:00+00:00,0.1239,0.1245,0.1239481313431431,0.124098860224298,0.1239,0,0.1245,3315.0,0.124056000000001,0,0,0.1240000000000033,0.1239142857142897,1.47721777,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
60,BSW/USDT:USDT,2023-05-24 01:45:00+00:00,0.1239,0.1239,0.123951826838908,0.1241414887935288,0.1237,1,0.1237,1487.0,0.1242040000000006,0,0,0.1238000000000037,0.1238000000000044,7.85315212,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
61,BSW/USDT:USDT,2023-05-25 03:15:00+00:00,0.1187,0.1194,0.1188564075375639,0.1190638400672558,0.1187,0,0.1193,34615.0,0.1193360000000006,0,0,0.1188000000000038,0.1186000000000044,2.84739732,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
62,BSW/USDT:USDT,2023-06-02 08:15:00+00:00,0.1178,0.118,0.1178336778342032,0.1175291370590958,0.1176,1,0.1179,28518.0,0.1175920000000007,0,0,0.117820000000004,0.1179285714285757,12.67941709,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
63,BSW/USDT:USDT,2023-06-06 23:00:00+00:00,0.1109,0.1112,0.1109248777598979,0.1106605103913498,0.1109,0,0.1112,506.0,0.1109000000000006,0,0,0.1109400000000041,0.1108714285714327,7.8474096,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
64,BSW/USDT:USDT,2023-06-07 13:15:00+00:00,0.1072,0.1072,0.1072875126194305,0.1076639003164647,0.1069,1,0.1069,19469.0,0.1075960000000006,0,0,0.1071000000000041,0.1072714285714327,9.81180093,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
65,BSW/USDT:USDT,2023-06-07 21:15:00+00:00,0.1019,0.102,0.1021666069582153,0.1028818345190147,0.1015,0,0.1019,29113.0,0.1023960000000005,0,0,0.1019000000000041,0.1020285714285756,36.7019966,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
